,date,FFR
6115,1985-05-23,7.75
6116,1985-05-24,7.75
6117,1985-05-25,7.75
6118,1985-05-26,7.75
6119,1985-05-27,7.75
6120,1985-05-28,7.75
6121,1985-05-29,7.75
6122,1985-05-30,7.75
6123,1985-05-31,7.75
6124,1985-06-01,7.75
6125,1985-06-02,7.75
6126,1985-06-03,7.75
6127,1985-06-04,7.75
6128,1985-06-05,7.75
6129,1985-06-06,7.75
6130,1985-06-07,7.75
6131,1985-06-08,7.75
6132,1985-06-09,7.75
6133,1985-06-10,7.75
6134,1985-06-11,7.75
6135,1985-06-12,7.75
6136,1985-06-13,7.75
6137,1985-06-14,7.75
6138,1985-06-15,7.75
6139,1985-06-16,7.75
